experiment,n_models,all_F9_spearman,all_F9_pearson,all_F9_n,hc_F9_spearman,hc_F9_pearson,hc_F9_n,all_GP1BB_spearman,all_GP1BB_pearson,all_GP1BB_n,hc_GP1BB_spearman,hc_GP1BB_pearson,hc_GP1BB_n,all_IRF4_spearman,all_IRF4_pearson,all_IRF4_n,hc_IRF4_spearman,hc_IRF4_pearson,hc_IRF4_n,all_ZFAND3_spearman,all_ZFAND3_pearson,all_ZFAND3_n,hc_ZFAND3_spearman,hc_ZFAND3_pearson,hc_ZFAND3_n,all_IRF6_spearman,all_IRF6_pearson,all_IRF6_n,hc_IRF6_spearman,hc_IRF6_pearson,hc_IRF6_n,all_HBG1_spearman,all_HBG1_pearson,all_HBG1_n,hc_HBG1_spearman,hc_HBG1_pearson,hc_HBG1_n,all_LDLR_spearman,all_LDLR_pearson,all_LDLR_n,hc_LDLR_spearman,hc_LDLR_pearson,hc_LDLR_n,all_TERT-HEK293T_spearman,all_TERT-HEK293T_pearson,all_TERT-HEK293T_n,hc_TERT-HEK293T_spearman,hc_TERT-HEK293T_pearson,hc_TERT-HEK293T_n,all_TERT-GBM_spearman,all_TERT-GBM_pearson,all_TERT-GBM_n,hc_TERT-GBM_spearman,hc_TERT-GBM_pearson,hc_TERT-GBM_n,all_MSMB_spearman,all_MSMB_pearson,all_MSMB_n,hc_MSMB_spearman,hc_MSMB_pearson,hc_MSMB_n,all_HBB_spearman,all_HBB_pearson,all_HBB_n,hc_HBB_spearman,hc_HBB_pearson,hc_HBB_n,all_MYCrs6983267_spearman,all_MYCrs6983267_pearson,all_MYCrs6983267_n,hc_MYCrs6983267_spearman,hc_MYCrs6983267_pearson,hc_MYCrs6983267_n,all_SORT1_spearman,all_SORT1_pearson,all_SORT1_n,hc_SORT1_spearman,hc_SORT1_pearson,hc_SORT1_n,all_PKLR_spearman,all_PKLR_pearson,all_PKLR_n,hc_PKLR_spearman,hc_PKLR_pearson,hc_PKLR_n,all_HNF4A_spearman,all_HNF4A_pearson,all_HNF4A_n,hc_HNF4A_spearman,hc_HNF4A_pearson,hc_HNF4A_n,K562_matched_sp,all_mean_sp
adaptive_softsort,8,0.38634515311397166,0.5746366253655757,671,0.7521206353756049,0.7823835062489768,111,0.38366357938266354,0.5730009441188935,869,0.7152750890538808,0.5876246626316235,143,0.1150858879639942,0.10903062263783356,972,0.1575829705607552,0.1874765521379542,462,0.2273850313333119,0.22485249617793773,1247,0.3778878925560692,0.29609152579177367,214,0.11456339228924796,0.10576662260298669,1357,0.12874138164921828,0.14774192926721402,236,0.4354285033101131,0.6809060499651499,633,0.7103638358052053,0.7133420495880632,125,0.31348829228397307,0.538873344996817,717,0.4458815563340648,0.5492133308074054,288,0.3924702338904639,0.4361863442933946,575,0.5248092691417948,0.653878649304695,98,0.4516182246120294,0.4939620991550068,575,0.5751162622538839,0.5970059311492395,220,0.19137103467083297,0.25159522961918923,1344,0.4612131433390441,0.4007232074428076,263,0.4830995400610289,0.6058126726117132,432,0.7038041453254708,0.7649779247507702,64,0.15094960839436297,0.23906317875675853,1364,0.585972810433233,0.5251506954558013,76,0.16609354821203573,0.1516703844289432,1360,0.19773573489064417,0.2021707814076283,523,0.4460095397460833,0.6636531152619697,1025,0.749542661423313,0.7988511955185846,180,0.18879192309107543,0.42305629319839266,672,0.5468245981720644,0.6501987441266236,95,0.4370502906249722,0.29642423282367925
combined_pl_a03,6,0.3857841819676422,0.6223548937424793,671,0.752208400482362,0.7859038555767366,111,0.3488170515045586,0.5072018466702464,869,0.6157459911838615,0.5247722605979874,143,0.18912229581620027,0.15548878358993637,972,0.2573578125603557,0.24813659032309487,462,0.23289844882980135,0.2670572786706405,1247,0.3549001890016593,0.36662286268097827,214,0.1319292698476731,0.07304565902479132,1357,0.0813546047182705,0.09920876352309546,236,0.4149228007093973,0.6556791230194929,633,0.7380275392351758,0.727846797798531,125,0.349765991497946,0.5990597158459864,717,0.5085958562022149,0.6180219111538747,288,0.4277272484946182,0.5034817852734875,575,0.6233576659947598,0.7123603595596256,98,0.5248744425149625,0.5892312056177529,575,0.6959827906910792,0.6878507331228464,220,0.1842995205683492,0.25501377098571476,1344,0.45686789339589745,0.4048129867573326,263,0.5079961164188775,0.5791243283349152,432,0.7084100134380713,0.7340060185098918,64,0.15498759772447956,0.2645543102341817,1364,0.6299765110603185,0.5877584953919223,76,0.19145884854831485,0.18162739257914928,1360,0.2346133859875893,0.23503525226165825,523,0.4016728302895401,0.6264421448092565,1025,0.7316699015446798,0.7779386652388351,180,0.2044654209978717,0.3759328478435328,672,0.5553569112719052,0.6347828057268452,95,0.41835219973059334,0.3100481377153488
combined_pl_a05,9,0.399959236892769,0.6041919658340281,671,0.7456040761988965,0.7771183008096226,111,0.34767359578589396,0.5318587508697681,869,0.6389720469533066,0.5360273428915939,143,0.15681406261319172,0.1461289455313464,972,0.21603085267431205,0.2200335619086477,462,0.2273003284026349,0.26112219640232637,1247,0.3274292005359373,0.33832444068417383,214,0.10552683632381668,0.06418370520438847,1357,0.06104905123935311,0.09127102083678507,236,0.4589367636106073,0.7108702246805055,633,0.7404488430564371,0.7370912569469262,125,0.35328467432295635,0.5858798867602905,717,0.5198233119064795,0.6119698448291224,288,0.3515900584872132,0.4207199831517624,575,0.4615929115617045,0.6665367887992214,98,0.4362407327919604,0.46405673411001963,575,0.5628647227695724,0.6052531048223436,220,0.18453874260684167,0.26141600766996287,1344,0.46103365845149125,0.40948769190474005,263,0.4822829610648121,0.587840014472923,432,0.6815997363647237,0.7563245176616442,64,0.182807542648993,0.24758058525701945,1364,0.638703387342594,0.5595500206207703,76,0.16207207878493074,0.17119804781294118,1360,0.20324670242835485,0.22517253345990934,523,0.39589020107550815,0.6028276427005943,1025,0.7152735915207376,0.7591397170061307,180,0.197997782907494,0.4274491572527085,672,0.5666072354413176,0.6900916161875745,95,0.42119588038420536,0.2961943732213082
combined_ranknet_a03,3,0.38680173305048643,0.6104167942214958,671,0.7844181946621871,0.7902711090139027,111,0.3628635479173466,0.5539929294354927,869,0.691825330882839,0.5715725034976125,143,0.13648608699490125,0.10404496613740057,972,0.1894501087299149,0.20194768028953478,462,0.21227026220597411,0.25494150632163065,1247,0.3471747580093041,0.3436902608908428,214,0.13926776638045973,0.09896569580772135,1357,0.11397022023902803,0.1409606551942602,236,0.45138404221126516,0.6395793231488575,633,0.7388879009990758,0.7027266002347786,125,0.29715137741347514,0.5741849470230064,717,0.45453085182202063,0.606032076755042,288,0.3647574123002425,0.37433030021042135,575,0.5608618499122033,0.5199089555661686,98,0.5084496775786609,0.4862252183301898,575,0.6633311784929293,0.562861983595511,220,0.16972267726962448,0.2248976180455935,1344,0.39220087413949783,0.3538572816037998,263,0.46834021717919017,0.5760179031424183,432,0.6505731422131744,0.6937610544432985,64,0.139774943236419,0.215423693720911,1364,0.5492734231834755,0.47208614926781517,76,0.21229561276189274,0.19155573726835667,1360,0.24063622913192612,0.2333381858088913,523,0.43433219855443567,0.6923659898904372,1025,0.7519399632779683,0.7833387712263703,180,0.18295458434832979,0.3966545781526737,672,0.5723164597240519,0.6693775403212051,95,0.4292300014655594,0.29779014262684694
combined_ranknet_a05,9,0.372064693857869,0.5875044996624911,671,0.7354233238150827,0.7817106236045663,111,0.3618984161545192,0.5902108520082747,869,0.6881804183577411,0.5775077402245922,143,0.12904475431641618,0.12262778031784237,972,0.18067208638098478,0.19509024012739065,462,0.22644694970399984,0.23049237392877306,1247,0.33710053148023866,0.3089179451616387,214,0.12391739162767412,0.10510836138464719,1357,0.10128809438987843,0.14145620327293223,236,0.4598572022139136,0.6643919838934959,633,0.7117066147010064,0.7051839290804371,125,0.35709454153058834,0.6241112262903578,717,0.5183227342435578,0.6380447355986085,288,0.40301924377533843,0.4200491547146226,575,0.495056644119735,0.6460207629327726,98,0.4830730947524488,0.4872154303741787,575,0.6101217073220014,0.6008110539862983,220,0.17986490442249126,0.25464727985414115,1344,0.48299020311485624,0.3905026941289734,263,0.5014415213926258,0.5965308712194403,432,0.7128325634168373,0.743621686177609,64,0.13847584927280893,0.2211719972998758,1364,0.5702562260314545,0.4880155451982187,76,0.1704981611503335,0.1855620008817202,1360,0.20931866113606099,0.23627575729588185,523,0.45811746485798627,0.7041635411241077,1025,0.7685924656460347,0.7981515091092307,180,0.18287624250406584,0.43108317371511296,672,0.5318685321062514,0.6474180552752135,95,0.44532865115476117,0.30317936210220525
combined_softsort_a03,3,0.3754460353951929,0.582848912278378,671,0.7366520353096808,0.7761948927994149,111,0.383030225669184,0.5780442862628947,869,0.711621967266339,0.5989882280357846,143,0.13165140448433615,0.10651885876962973,972,0.18032641014632653,0.20302714734104493,462,0.20427853249285016,0.23373501715320455,1247,0.3403892126136253,0.31776716432027485,214,0.1265737611158961,0.10478154558060127,1357,0.11430393636558413,0.1475766981366785,236,0.4472719279770658,0.6188787715056184,633,0.6973908094938275,0.6600545883835252,125,0.33049362303834184,0.515868433585302,717,0.4078004419777011,0.5138227686778718,288,0.33269963479529313,0.3477707199327726,575,0.40054455494764507,0.4755765106946836,98,0.4129833156385592,0.4091457881954782,575,0.5274107139081835,0.4944095331695648,220,0.1758883724521335,0.2170253464369445,1344,0.43902927314714235,0.3698299932167231,263,0.44962828863459164,0.5534861561844528,432,0.6983046013104249,0.7562628496788353,64,0.16594285483252455,0.2773650217314632,1364,0.6965907547823904,0.5796206657767696,76,0.1790519309840526,0.1716481874046349,1360,0.21721779429898314,0.2316497160269536,523,0.4130891019449119,0.667887368626539,1025,0.7590042871123299,0.796940754310927,180,0.2099541424943023,0.4324314230040292,672,0.5660258052382907,0.6809051707388537,95,0.42325488605643835,0.28919887679661577
combined_softsort_a05,6,0.38089567371506555,0.5926793975661332,671,0.7528403092510125,0.7769481650792879,111,0.3871427990339451,0.5818532731306996,869,0.6762462030799005,0.5447878807687351,143,0.14312707788944332,0.13167717472677656,972,0.21884962605409458,0.21001987511500367,462,0.24993027922450464,0.25258714922722525,1247,0.39385064011655896,0.3151823401558279,214,0.11086762336430322,0.07033380980279721,1357,0.04087999724311734,0.09978889654650278,236,0.4432885502201835,0.6392877699759558,633,0.7082682403659918,0.6800890288874797,125,0.32091802827904176,0.5709130435975351,717,0.46676580953599045,0.588351060952071,288,0.35509467329192484,0.3937962729694911,575,0.47999541387924943,0.5921197239905467,98,0.4404261639042246,0.4728663659938269,575,0.5687219741103541,0.5645757829661714,220,0.19764846065795355,0.24745891319595684,1344,0.49645717858405997,0.4124079745265612,263,0.4611891204281309,0.5530225757176348,432,0.7159948012254885,0.768189768335271,64,0.1692518957675779,0.2705614242590024,1364,0.6721472940983366,0.5943769196746148,76,0.17786860042595867,0.1885304477096846,1360,0.25153837424237496,0.2681145457688143,523,0.4293581755747058,0.6660591975898236,1025,0.7318386386709301,0.7877392979284281,180,0.16447204812421662,0.42324967120569223,672,0.5299210911852698,0.6383996901810669,95,0.43024466131424133,0.2954319446600787
mse_baseline,9,0.3962576894732367,0.6066379515393072,671,0.7590847965967743,0.7928305974842811,111,0.37403723223035584,0.5788071746581502,869,0.6793698274398099,0.5536026090040721,143,0.1731560310001928,0.13274209638518958,972,0.24657479503307242,0.22258626434786102,462,0.22793189940856584,0.23129790126297914,1247,0.36152776014069804,0.29868436799757436,214,0.12375998000359084,0.09507879292802868,1357,0.061740679052940624,0.12884412424833608,236,0.4548642096392409,0.6613369297954832,633,0.7212689211626379,0.7187012582212505,125,0.38361708363938835,0.6410639451532484,717,0.5451585587788059,0.6488880992535759,288,0.3742546147479154,0.4533687622796384,575,0.5654210284142979,0.675548047470614,98,0.47927204254342404,0.5121184778877641,575,0.6244785663184508,0.6416459064624428,220,0.18514986624112634,0.23043930338564972,1344,0.42771974561857906,0.37532743585368133,263,0.4963420719244573,0.5924060842559078,432,0.6984650046775305,0.7438008175991688,64,0.15409657451216968,0.24096277533821805,1364,0.636542186006231,0.5348358390000518,76,0.18964253862176542,0.1709637201148338,1360,0.21788100120589673,0.22578618868587713,523,0.4476827518057397,0.6913871469780567,1025,0.7647351760953469,0.7997687295676528,180,0.17621057144032135,0.4236822583656748,672,0.5649470070302648,0.6444013779848411,95,0.44323156639994843,0.30908501048209935
MSE_90model,90,0.3970273238484711,0.5889376255039253,671,0.7454592637727475,0.7775848921553662,111,0.40100036132528377,0.5970187621143207,869,0.711800518724494,0.5886578368675384,143,0.1503547552170579,0.13273286619917857,972,0.21569040934868045,0.20838397102917508,462,0.2515974790746021,0.2604771674335916,1247,0.37545643607111695,0.33232463554201136,214,0.14403483974519293,0.10703163207730243,1357,0.10032894585103526,0.13910423376984557,236,0.47690365321939554,0.6713691675928843,633,0.7319404797555833,0.7237169817781322,125,0.3692225135248876,0.6107325255976614,717,0.49280989975695527,0.6104434877982491,288,0.41340341157026494,0.4565782020151851,575,0.5472799615073625,0.6542103874051263,98,0.5169134624088007,0.5450958792866392,575,0.6605800623638456,0.629878597692987,220,0.2073038315737858,0.27672765812920297,1344,0.4865901288650212,0.4236999464582706,263,0.48208588916446693,0.5780251629917705,432,0.6799957026936687,0.7522761194327354,64,0.14152281369418485,0.21412171091834112,1364,0.5620217753701225,0.4831456512499481,76,0.18326988028725508,0.18229694229261675,1360,0.21690288426501483,0.23467393609830098,523,0.4388617742325632,0.6860651800013492,1025,0.7534164131326593,0.797463122702629,180,0.20140494021427086,0.4354653503488187,672,0.5696895160356773,0.663491016277142,95,0.44971291948542735,0.3183271286066989
RankNet_90model,90,0.3945005996731731,0.5938927743381286,671,0.7499528372387066,0.7827403492108594,111,0.3886475857718648,0.5828520220825856,869,0.6967878300301854,0.5689942934792286,143,0.13390060110863367,0.12876805611028028,972,0.1990332080478229,0.211193109545672,462,0.26038002848547953,0.26863094527837744,1247,0.3881929574368917,0.34247937876245804,214,0.13324631846086832,0.10141911037133972,1357,0.10374599811816573,0.1360366966910221,236,0.4664250102992918,0.6696253852321064,633,0.7426734927602358,0.7222092676747264,125,0.3767722073914215,0.622399059015704,717,0.5099756140030902,0.6270210808904246,288,0.4073193116295711,0.43113560169324944,575,0.5430268537298842,0.6158808851704809,98,0.5151225559405956,0.5272637781584184,575,0.652705964520403,0.606722836422278,220,0.2096153422313642,0.2780295750021412,1344,0.4932412977035854,0.41511230816012173,263,0.49908708173394967,0.5977942366307772,432,0.6978692207425672,0.7567687946502712,64,0.1337195018754159,0.20759142937630978,1364,0.5652772558641376,0.4798104137343951,76,0.18649920172752632,0.19986913313492188,1360,0.22968454902545754,0.24973421180393282,523,0.43825127839231814,0.691397449727938,1025,0.7584795558050879,0.8031558794275556,180,0.2071131218517866,0.46117309382654087,672,0.5695283968227902,0.686068798732676,95,0.44810273904935605,0.31670664977155066
