,B1_baseline_mse,C1_pl_linear_curriculum_20260121,C2_pl_stepped_curriculum,C3_combined_curriculum,D1_domain_adversarial,D2_bias_factorized,D3_full_advanced,H1_HepG2_baseline_mse,H2_HepG2_plackett_luce,H3_HepG2_combined,H4_HepG2_softsort,R1_plackett_luce,R2_softsort,R3_ranknet,R4_combined,R5_dual_combined
B1_baseline_mse,1.0,0.8227211661565836,0.8190434136943873,0.8213667863438466,0.8217653661294311,0.8166555326205499,0.8147924522957622,0.5280744296770873,0.46200662962429806,0.4625361528524727,0.49065674863790215,0.8105640113089616,0.8187188658654181,0.779877369278862,0.8100813805958637,0.8055922372033781
C1_pl_linear_curriculum_20260121,0.8227211661565836,1.0,0.8346084611681167,0.8432623554455918,0.8357619226568105,0.8486876343188918,0.8335252372359039,0.4770380143396705,0.4327770914031102,0.43474091940666987,0.4564208902512719,0.8314707605990774,0.8247432089483224,0.806952327798429,0.8325662421464702,0.8231623774820588
C2_pl_stepped_curriculum,0.8190428495790614,0.8346084611681167,1.0,0.8329838807319571,0.8367444064378492,0.8352229065164226,0.8249400114216633,0.47067124311338565,0.4318448152996167,0.4339575925706882,0.44895906923147166,0.8304705956070602,0.8163650332684579,0.8101527319993644,0.825320181633993,0.8194265686954589
C3_combined_curriculum,0.8213664449363457,0.8432620946886825,0.8329838807319571,1.0,0.8427332992019847,0.842769435412245,0.8375300044361257,0.4792111911068578,0.4341591839065224,0.4362534754942682,0.45628865785339384,0.8267269366092581,0.8236298689917031,0.8046994849493093,0.8371811722605149,0.8227907853197244
D1_domain_adversarial,0.821765150817702,0.8357621681708591,0.8367446575525581,0.8427330453622955,1.0,0.841757514986888,0.8498649795810702,0.4805765966177523,0.44561419934869667,0.44691726991199415,0.46117473195403563,0.8349024301173104,0.8271196713911327,0.8068664546971577,0.839949309919902,0.825276179699803
D2_bias_factorized,0.8166555326205499,0.8486877575422725,0.8352229065164226,0.842769435412245,0.8417572759842944,1.0,0.8435432534065048,0.4682486556863429,0.42548063001465897,0.42848950350089626,0.4449926710617732,0.8310791624925183,0.8298528886695122,0.8056125265656326,0.8306299692623342,0.8196662975698349
D3_full_advanced,0.8147921254377463,0.8335252372359039,0.824940138130686,0.8375300044361257,0.8498651020964525,0.8435432534065048,1.0,0.4683335306267022,0.42612396882353776,0.4279746170708153,0.44636283503308366,0.8287645654395582,0.8252638280802798,0.8132465294339654,0.8345212582277363,0.8207081120097396
H1_HepG2_baseline_mse,0.5280746490756832,0.4770382501180634,0.4706715423653804,0.4792114344227315,0.4805766542291971,0.4682487123337276,0.4683338196452857,1.0,0.7388603135336593,0.736400162623119,0.772956595492914,0.4733204718593569,0.4847972326404278,0.44971405841303974,0.4774106135378042,0.45847393846520973
H2_HepG2_plackett_luce,0.4620065068735002,0.43277715856820426,0.4318447467166921,0.4341593224370416,0.44561406661507835,0.42548063001465897,0.426124034784971,0.7388598790184465,1.0,0.8942913169400567,0.8607280448394484,0.440603622613393,0.43529643066960694,0.42133756224003305,0.4378377857227586,0.42071016325616123
H3_HepG2_combined,0.46253609096528614,0.4347410550862302,0.4339575232866088,0.43625340552327674,0.44691720293237536,0.42848956883100275,0.42797481692353206,0.7363997254651364,0.8942910287791707,1.0,0.8548894216725728,0.4459058339348586,0.4340603076172052,0.42930098336575023,0.4388393160660608,0.42393199218506145
H4_HepG2_softsort,0.4906564759730722,0.4564208902512719,0.44895906923147166,0.4562888109095687,0.46117458642681863,0.44499252866438044,0.4463629077903156,0.7729557572895184,0.860727591344839,0.8548889662109567,1.0,0.45667245044790833,0.4583086924302137,0.4348329439725542,0.4505285912338995,0.4346174165547355
R1_plackett_luce,0.8105633319164512,0.831470916203494,0.8304707545719612,0.8267269366092581,0.8349022782807936,0.8310791624925183,0.8287645654395582,0.4733200358963716,0.440603622613393,0.445905748910365,0.45667254246686767,1.0,0.8254315411633327,0.8187421278553032,0.848885701582346,0.8404863744184726
R2_softsort,0.8187184174043467,0.8247433785916481,0.8163646882119576,0.8236296944404949,0.8271195059583726,0.8298530537334022,0.8252634921769223,0.4847973131374621,0.43529624816815915,0.43406012396064025,0.4583088942496332,0.825431436150769,1.0000001265259864,0.8196125971594337,0.8240924461354197,0.8193275192080477
R3_ranknet,0.7798775701932613,0.806952674419011,0.8101528503398256,0.8046999601373264,0.8068667922107113,0.8056129744917452,0.8132467590281316,0.4497139516478385,0.42133780949821975,0.42930117200646767,0.4348332146841542,0.8187422718796962,0.8196127549008632,1.0,0.8238361201752016,0.8071709049179427
R4_combined,0.8100808461054326,0.8325663953138681,0.8253203375206175,0.8371814885437229,0.8399490102981135,0.8306301176626588,0.8345212582277363,0.477410398186964,0.4378377034833566,0.4388393160660608,0.4505285912338995,0.84888589297925,0.8240926525675248,0.823836262290688,1.0,0.8343638280403433
R5_dual_combined,0.8055922372033781,0.823162542039603,0.8194264008650308,0.8227907853197244,0.8252760192516825,0.8196662975698349,0.8207081120097396,0.45847416648685213,0.4207100761531984,0.42393199218506145,0.4346176073796631,0.8404861686429608,0.8193275192080477,0.8071707529255662,0.8343636263595258,1.0
