experiment,activity_r2,rank_r2,gc_content_r2,cpg_freq_r2,highlow_accuracy,random_r2
B1_baseline_mse,0.5633974671363831,0.4866775126105649,0.9751205444335938,0.8980585156293357,0.742,-0.07604923248291015
C1_pl_linear_curriculum_20260121,0.5816164493560791,0.493587130238625,0.7148633599281311,0.6528574498871579,0.7413333333333334,-0.09656767845153809
C2_pl_stepped_curriculum,0.5685231685638428,0.4858130902631581,0.7533651471138001,0.656736552036592,0.733,-0.10239512920379638
C3_combined_curriculum,0.5779271125793457,0.5003867431376252,0.6631203055381775,0.6218255693328969,0.7413333333333334,-0.09612867832183838
D1_domain_adversarial,0.5695886611938477,0.4870912860463072,0.8083569407463074,0.712121834874042,0.7313333333333334,-0.08259317874908448
D2_bias_factorized,0.5681203722953796,0.48124648948387216,0.7835062146186829,0.6873736300935088,0.743,-0.08795418739318847
D3_full_advanced,0.5655818104743957,0.4798291635850525,0.7175160408020019,0.6558229725791065,0.741,-0.07517416477203369
R1_plackett_luce,0.5823436737060547,0.5103448118239917,0.7993910431861877,0.6673306162033,0.7523333333333333,-0.09873428344726562
R2_softsort,0.5619982242584228,0.4783662993950326,0.8367400407791138,0.7387940478756105,0.736,-0.10887219905853271
R3_ranknet,0.576306164264679,0.506918549426657,0.6660189032554626,0.6455250235144769,0.7526666666666667,-0.07933158874511718
R4_combined,0.5752804398536682,0.49634279698081213,0.7245555520057678,0.6369710708694469,0.7406666666666666,-0.09664380550384521
R5_dual_combined,0.5628566980361939,0.48605386978559534,0.8052690386772156,0.6734815187313868,0.742,-0.10033612251281739
