model,element,n_all,spearman_all,n_high,spearman_high,n_low,spearman_low
B1_baseline_mse,GP1BB,869,0.1465555833503273,143,0.4307030587511959,726,0.02982725746580513
B1_baseline_mse,HBB,432,0.4153661438204073,64,0.5460359763938478,368,0.3123489403378423
B1_baseline_mse,HBG1,633,0.2562646867262356,125,0.43457794510764586,508,0.16193361878919624
B1_baseline_mse,PKLR,1025,0.24280565134297513,180,0.43540763436069085,845,0.11567272832328537
DH7_distributional_dual,GP1BB,869,0.31184695385938194,143,0.6905344243635336,726,0.08901211345684798
DH7_distributional_dual,HBB,432,0.46473001184498625,64,0.6948215567675627,368,0.35978734968334214
DH7_distributional_dual,HBG1,633,0.44746615656414457,125,0.6902590250152136,508,0.28925040824231296
DH7_distributional_dual,PKLR,1025,0.3380103109186383,180,0.6433257271034287,845,0.1679654457365809
RS3_bilstm_rs,GP1BB,869,0.2825403776084629,143,0.648152054681214,726,0.11058099593573072
RS3_bilstm_rs,HBB,432,0.45305132405664306,64,0.6376950433112757,368,0.3419192507937103
RS3_bilstm_rs,HBG1,633,0.37977256076453414,125,0.5841211105558073,508,0.22949863798099732
RS3_bilstm_rs,PKLR,1025,0.3536462325552301,180,0.6966322546097319,845,0.16904453990504964
ABL4_ng_a05,GP1BB,869,0.3138478664533014,143,0.6841311996572803,726,0.11535708829305867
ABL4_ng_a05,HBB,432,0.4199240364305817,64,0.6526583859855458,368,0.2896209421378841
ABL4_ng_a05,HBG1,633,0.4426844044359867,125,0.7092453655121355,508,0.29790283000480966
ABL4_ng_a05,PKLR,1025,0.3252404372079055,180,0.6496338205244121,845,0.15328471246383468
NG8_ng_alpha05,GP1BB,869,0.3138478664533014,143,0.6841311996572803,726,0.11535708829305867
NG8_ng_alpha05,HBB,432,0.4199240364305817,64,0.6526583859855458,368,0.2896209421378841
NG8_ng_alpha05,HBG1,633,0.4426844044359867,125,0.7092453655121355,508,0.29790283000480966
NG8_ng_alpha05,PKLR,1025,0.3252404372079055,180,0.6496338205244121,845,0.15328471246383468
QS6_quantile_noise,GP1BB,869,0.3379110817926676,143,0.6129466326904868,726,0.1465426427830839
QS6_quantile_noise,HBB,432,0.39801741380067485,64,0.629560301122354,368,0.27975453458706767
QS6_quantile_noise,HBG1,633,0.4136758479750533,125,0.6920504211164767,508,0.2330125511708527
QS6_quantile_noise,PKLR,1025,0.3431106645181033,180,0.6629126092523863,845,0.14796529888778237
DH8_distributional_lv2,GP1BB,869,0.3216861720326274,143,0.6622453059818042,726,0.1477878909092053
DH8_distributional_lv2,HBB,432,0.3636768720423788,64,0.6032999784505109,368,0.2484932220336574
DH8_distributional_lv2,HBG1,633,0.41576163444038844,125,0.7298110843899306,508,0.21709738591363364
DH8_distributional_lv2,PKLR,1025,0.35381770274582236,180,0.7106497827075098,845,0.15618860415374647
HN1_hard_negative,GP1BB,869,0.2848513814390871,143,0.6696172236564394,726,0.11233897298510946
HN1_hard_negative,HBB,432,0.3975349710676802,64,0.6078141874961942,368,0.27779513093126335
HN1_hard_negative,HBG1,633,0.41403333362765093,125,0.7136915921991471,508,0.246192632909521
HN1_hard_negative,PKLR,1025,0.3512859974529892,180,0.661779806959693,845,0.16136581938585118
